Substation_Number,Mean_Wind_Speed_100m,IEC_Class
4,7.85,Class 2
16,7.85,Class 2
17,7.7,Class 2
19,7.85,Class 2
26,7.85,Class 2
29,7.74,Class 2
31,7.85,Class 2
38,7.77,Class 2
42,7.85,Class 2
43,7.85,Class 2
45,7.75,Class 2
55,7.11,Class 3
83,7.93,Class 2
87,8.22,Class 2
106,8.05,Class 2
121,7.53,Class 2
129,7.48,Class 3
131,7.7,Class 2
132,7.35,Class 3
139,7.48,Class 3
141,7.55,Class 2
144,7.76,Class 2
165,7.81,Class 2
177,7.81,Class 2
178,7.86,Class 2
184,7.74,Class 2
189,7.7,Class 2
192,7.81,Class 2
199,7.6,Class 2
200,7.85,Class 2
201,7.71,Class 2
203,7.87,Class 2
205,7.87,Class 2
207,6.58,Class 3
211,7.81,Class 2
212,7.87,Class 2
213,7.81,Class 2
214,7.74,Class 2
216,7.87,Class 2
217,7.64,Class 2
226,7.64,Class 2
227,7.71,Class 2
229,7.7,Class 2
230,7.81,Class 2
232,7.81,Class 2
261,7.69,Class 2
290,7.72,Class 2
316,7.22,Class 3
349,7.69,Class 2
356,7.69,Class 2
366,7.33,Class 3
396,7.36,Class 3
504,7.57,Class 2
528,7.36,Class 3
562,7.48,Class 3
563,7.27,Class 3
670,7.63,Class 2
1298,7.75,Class 2
1301,7.71,Class 2
1307,7.92,Class 2
1310,7.51,Class 2
1313,7.5,Class 2
1320,7.63,Class 2
1336,7.7,Class 2
1337,7.48,Class 3
1341,7.56,Class 2
1344,7.79,Class 2
1345,7.55,Class 2
1353,7.1,Class 3
1360,7.92,Class 2
1361,7.27,Class 3
1362,7.99,Class 2
1363,7.63,Class 2
1364,7.72,Class 2
1365,7.33,Class 3
1367,7.96,Class 2
1368,7.92,Class 2
1369,7.7,Class 2
1370,7.33,Class 3
1371,7.63,Class 2
1373,6.89,Class 3
1375,7.01,Class 3
1378,7.92,Class 2
1379,7.01,Class 3
1380,7.74,Class 2
1381,8.22,Class 2
1382,8.0,Class 2
1385,7.74,Class 2
1386,6.9,Class 3
1390,7.93,Class 2
1395,7.96,Class 2
1396,7.74,Class 2
1401,7.64,Class 2
1404,7.39,Class 3
1405,7.55,Class 2
1419,7.33,Class 3
1420,7.49,Class 3
1423,6.81,Class 3
1424,7.59,Class 2
1425,7.7,Class 2
1426,7.81,Class 2
1435,7.39,Class 3
1436,7.22,Class 3
1438,7.39,Class 3
1439,7.37,Class 3
1441,7.92,Class 2
1442,7.48,Class 3
1443,7.55,Class 2
1446,7.72,Class 2
1449,7.49,Class 3
1450,7.55,Class 2
1453,7.75,Class 2
1456,7.22,Class 3
1462,7.68,Class 2
1463,8.18,Class 2
1466,7.23,Class 3
1467,7.63,Class 2
1468,7.99,Class 2
1471,7.4,Class 3
1477,7.72,Class 2
1479,7.48,Class 3
1480,6.73,Class 3
1481,7.72,Class 2
1482,7.37,Class 3
1483,7.69,Class 2
1486,7.48,Class 3
1488,7.48,Class 3
1489,7.72,Class 2
1490,7.22,Class 3
1491,7.22,Class 3
1492,7.48,Class 3
1493,7.72,Class 2
1494,7.83,Class 2
1495,8.0,Class 2
1496,8.22,Class 2
1497,7.37,Class 3
1498,7.37,Class 3
1499,7.96,Class 2
1500,7.33,Class 3
1501,7.27,Class 3
1504,7.37,Class 3
1524,7.63,Class 2
1527,7.74,Class 2
1528,7.23,Class 3
1529,7.81,Class 2
1532,8.0,Class 2
1535,7.74,Class 2
1536,7.11,Class 3
1537,7.69,Class 2
1538,7.55,Class 2
1539,7.48,Class 3
1541,8.22,Class 2
1543,7.39,Class 3
1545,7.35,Class 3
1547,7.77,Class 2
1550,7.75,Class 2
1551,7.6,Class 2
1552,8.05,Class 2
1553,8.0,Class 2
1554,6.73,Class 3
1555,8.13,Class 2
1556,7.22,Class 3
1557,7.77,Class 2
1558,8.0,Class 2
1560,7.4,Class 3
1562,7.35,Class 3
1565,7.64,Class 2
1569,7.57,Class 2
1570,7.74,Class 2
1571,7.96,Class 2
1572,6.81,Class 3
1573,7.96,Class 2
1574,7.86,Class 2
1575,7.93,Class 2
1576,7.55,Class 2
1577,7.55,Class 2
1578,7.83,Class 2
1579,7.92,Class 2
1580,7.96,Class 2
1596,7.1,Class 3
1597,7.66,Class 2
1598,7.74,Class 2
1600,7.81,Class 2
1601,7.72,Class 2
1602,7.77,Class 2
1609,7.7,Class 2
1612,7.81,Class 2
1613,7.35,Class 3
1624,7.85,Class 2
1626,7.74,Class 2
1627,7.87,Class 2
1630,7.36,Class 3
1631,7.37,Class 3
1637,7.87,Class 2
1642,7.34,Class 3
1670,7.48,Class 3
1671,7.81,Class 2
1672,7.74,Class 2
1673,7.33,Class 3
1679,7.64,Class 2
1680,7.74,Class 2
1682,7.74,Class 2
1683,7.71,Class 2
1686,7.74,Class 2
1687,7.37,Class 3
1699,7.96,Class 2
1702,7.96,Class 2
1703,7.37,Class 3
1712,8.11,Class 2
1716,7.85,Class 2
1726,8.21,Class 2
1727,8.21,Class 2
