FIPS,State,County,County Population,BTM PV Res Cap,BTM PV Comm Cap,,,EIA 861M Small Scale PV Estimate,,,,Capacity MW,,,
48001,TX,Anderson,59805,5.483538391,0.653390759,,,Year,Month,State,Data Status,Residential,Commercial,Industrial,Total
48003,TX,Andrews,18914,1.734230334,0.206642134,,,2025,12,TX,Preliminary,2907.483,346.441,3.326,3257.25
48005,TX,Angelina,88154,8.082866705,0.963113602,,,,,,,,,,
48007,TX,Aransas,26146,2.397334583,0.285654289,,,County Population data from US Census Bereau,,,,,,,
48009,TX,Archer,9129,0.837040749,0.099737551,,,,,,,,,,
48011,TX,Armstrong,1843,0.168985223,0.020135426,,,,,,,,,,
48013,TX,Atascosa,53590,4.913683176,0.585489688,,,,,,,,,,
48015,TX,Austin,33625,3.083086337,0.367365007,,,,,,,,,,
48017,TX,Bailey,6963,0.638439559,0.076073236,,,,,,,,,,
48019,TX,Bandera,22876,2.097507302,0.249928384,,,,,,,,,,
48021,TX,Bastrop,118908,10.90271019,1.29911192,,,,,,,,,,
48023,TX,Baylor,3472,0.318348722,0.037932827,,,,,,,,,,
48025,TX,Bee,32515,2.981310104,0.355237865,,,,,,,,,,
48027,TX,Bell,402248,36.88223979,4.394701546,,,,,,,,,,
48029,TX,Bexar,2160088,198.0591167,23.59972473,,,,,,,,,,
48031,TX,Blanco,13581,1.245245964,0.148377224,,,,,,,,,,
48033,TX,Borden,567,0.0519884,0.006194675,,,,,,,,,,
48035,TX,Bosque,18918,1.734597095,0.206685835,,,,,,,,,,
48037,TX,Bowie,92696,8.499324048,1.012736557,,,,,,,,,,
48039,TX,Brazoria,419080,38.42557092,4.578597094,,,,,,,,,,
48041,TX,Brazos,249088,22.83895344,2.721374422,,,,,,,,,,
48043,TX,Brewster,9458,0.867206857,0.103331992,,,,,,,,,,
48045,TX,Briscoe,1474,0.135151502,0.016103971,,,,,,,,,,
48047,TX,Brooks,6579,0.603230484,0.0718779,,,,,,,,,,
48049,TX,Brown,38711,3.549423203,0.422931355,,,,,,,,,,
48051,TX,Burleson,20549,1.884143974,0.224505087,,,,,,,,,,
48053,TX,Burnet,57015,5.227722454,0.622909023,,,,,,,,,,
48055,TX,Caldwell,55150,5.056720044,0.602533239,,,,,,,,,,
48057,TX,Calhoun,19599,1.797038189,0.214126001,,,,,,,,,,
48059,TX,Callahan,14491,1.328684137,0.158319296,,,,,,,,,,
48061,TX,Cameron,433946,39.78863892,4.741013397,,,,,,,,,,
48063,TX,Camp,13380,1.226816214,0.146181228,,,,,,,,,,
48065,TX,Carson,5805,0.532262191,0.063421676,,,,,,,,,,
48067,TX,Cass,28651,2.627018785,0.3130223,,,,,,,,,,
48069,TX,Castro,7295,0.668880738,0.079700453,,,,,,,,,,
48071,TX,Chambers,57594,5.280811137,0.629234802,,,,,,,,,,
48073,TX,Cherokee,53337,4.89048553,0.582725573,,,,,,,,,,
48075,TX,Childress,6643,0.609098663,0.072577122,,,,,,,,,,
48077,TX,Clay,10764,0.986954389,0.117600504,,,,,,,,,,
48079,TX,Cochran,2546,0.233443504,0.02781595,,,,,,,,,,
48081,TX,Coke,3412,0.312847304,0.037277306,,,,,,,,,,
48083,TX,Coleman,7915,0.725728724,0.086474172,,,,,,,,,,
48085,TX,Collin,1297179,118.9387316,14.17213897,,,,,,,,,,
48087,TX,Collingsworth,2487,0.228033776,0.027171354,,,,,,,,,,
48089,TX,Colorado,21439,1.965748341,0.234228651,,,,,,,,,,
48091,TX,Comal,209166,19.17849329,2.285212465,,,,,,,,,,
48093,TX,Comanche,14432,1.323274409,0.1576747,,,,,,,,,,
48095,TX,Concho,3607,0.330726912,0.03940775,,,,,,,,,,
