Timestamp (EST),Baseline Res Electricity,BaseLine Res NG,ASHP Res Electricity,ASHP Res NG,Baseline Comm Electricity,Baseline Comm NG,SPHP RTU Comm Electricity,SPHP RTU Comm NG,Baseline Ins Electricity,TX BTM DGPV NCF
Mon 12:00 AM,0.5385,0.3476,0.4571,0.3622,0.419524583,0.346672865,0.418613036,0.41675037,0.961103006,0
Mon 01:00 AM,0.4908,0.4435,0.4863,0.3294,0.39902918,0.370725702,0.44288821,0.437617556,0.961103006,0
Mon 02:00 AM,0.5139,0.482,0.4971,0.3277,0.421158395,0.425647516,0.454567876,0.471652032,0.961103006,0
Mon 03:00 AM,0.5198,0.5351,0.5319,0.343,0.429345687,0.434481345,0.447049565,0.470240642,0.961103006,0
Mon 04:00 AM,0.5499,0.5828,0.5621,0.3847,0.421115564,0.443242655,0.448522194,0.46955161,0.961103006,0
Mon 05:00 AM,0.5783,0.6581,0.6244,0.504,0.421826639,0.472252413,0.465521103,0.493578483,0.961103006,0
Mon 06:00 AM,0.6398,0.7516,0.7171,0.7186,0.43765566,0.517091672,0.508668008,0.535130741,0.961103006,0.01
Mon 07:00 AM,0.7328,0.8354,0.8239,0.9247,0.479103859,0.585931313,0.597375319,0.599447197,0.961103006,0.1
Mon 08:00 AM,0.8406,0.8582,0.874,0.9605,0.56415227,0.761176496,0.731947771,0.7819522,0.975200954,0.2
Mon 09:00 AM,0.8904,0.796,0.842,0.8971,0.693360558,0.897620914,0.805866168,0.919412592,0.98536235,0.35
Mon 10:00 AM,0.867,0.698,0.7714,0.8191,0.768499893,0.912855245,0.879627258,0.940741292,0.993382191,0.45
Mon 11:00 AM,0.8059,0.6015,0.707,0.7472,0.84933488,0.847536944,0.933980592,0.891984372,0.99625867,0.5
Mon 12:00 PM,0.7493,0.5242,0.6607,0.7122,0.914191933,0.761021625,0.969590545,0.828581807,0.99773077,0.53
Mon 01:00 PM,0.7111,0.4655,0.6324,0.6909,0.957691033,0.691142447,0.993712025,0.781518381,0.999824274,0.5
Mon 02:00 PM,0.6874,0.3974,0.5961,0.6625,0.991959757,0.636734157,0.994023726,0.74243398,0.999484858,0.45
Mon 03:00 PM,0.6551,0.3596,0.5927,0.6647,0.999641792,0.59259637,0.976939624,0.709404026,0.994048887,0.35
Mon 04:00 PM,0.6562,0.3456,0.6153,0.7028,0.987545648,0.562003172,0.936936201,0.684065112,0.984663676,0.2
Mon 05:00 PM,0.6833,0.3552,0.6627,0.7659,0.950240257,0.53946427,0.869554307,0.662277556,0.974290482,0.08
Mon 06:00 PM,0.7346,0.3692,0.7202,0.7904,0.882335088,0.497976171,0.788140102,0.610923109,0.969223172,0.025
Mon 07:00 PM,0.7933,0.3794,0.7733,0.737,0.797332667,0.482783815,0.722512104,0.586750665,0.969223172,0
Mon 08:00 PM,0.8427,0.3795,0.8116,0.6496,0.725255297,0.471216099,0.695490519,0.561882441,0.961103006,0
Mon 09:00 PM,0.8768,0.3838,0.8144,0.5691,0.687055436,0.466197498,0.643310758,0.545020178,0.961103006,0
Mon 10:00 PM,0.8746,0.4015,0.735,0.5117,0.627348771,0.451636734,0.586156722,0.521508769,0.961103006,0
Mon 11:00 PM,0.7866,0.4322,0.6104,0.4498,0.566290932,0.442214512,0.548007241,0.504519172,0.961103006,0
Tue 12:00 AM,0.6515,0.4617,0.5279,0.386,0.523740063,0.440602115,0.521138285,0.498570865,0.961103006,0
Tue 01:00 AM,0.5617,0.4902,0.508,0.346,0.494222629,0.43790892,0.49251704,0.491006158,0.961103006,0
Tue 02:00 AM,0.5388,0.5263,0.5182,0.3341,0.465747316,0.440347358,0.451288665,0.483835563,0.961103006,0
Tue 03:00 AM,0.5455,0.589,0.5617,0.3528,0.426363503,0.447825016,0.442278992,0.481864957,0.961103006,0
Tue 04:00 AM,0.5837,0.6464,0.5995,0.4023,0.416753822,0.462709689,0.446209222,0.48821472,0.961103006,0
Tue 05:00 AM,0.6189,0.7278,0.6682,0.527,0.419715167,0.49309191,0.464762218,0.512180576,0.961103006,0
Tue 06:00 AM,0.6857,0.828,0.7686,0.7423,0.436762502,0.544711076,0.509101941,0.560034809,0.961103006,0.01
