County Name,R ratio,C ratio,I ratio,,,
Anderson,0.419167022,0.309250794,0.271582184,,,
Andrews,0.17174066,0.121093549,0.707165791,,,
Angelina,0.389471381,0.323437171,0.287091448,,,
Aransas,0.537025381,0.329617668,0.133356951,,,
Archer,0.216351313,0.095149404,0.688499283,,,
Armstrong,0.328040786,0.238580282,0.433378932,,,
Atascosa,0.514076915,0.304002346,0.181920739,,,
Austin,0.43208765,0.241751438,0.326160911,,,
Bailey,0.217813191,0.270099398,0.512087411,,,
Bandera,0.564935423,0.245176665,0.189887912,,,
Bastrop,0.443089329,0.323485262,0.233425409,,,
Baylor,0.371720781,0.302456895,0.325822324,,,
Bee,0.327699536,0.226854955,0.445445508,,,
Bell,0.453132904,0.331087076,0.215780019,,,
Bexar,0.349114068,0.470346758,0.180539175,,,
Blanco,0.386924532,0.309177991,0.303897476,,,
Borden,0.296709263,0,0.703290737,,,
Bosque,0.336808044,0.221303572,0.441888383,,,
Bowie,0.362959113,0.500507073,0.136533814,,,
Brazoria,0.384287442,0.279613458,0.3360991,,,
Brazos,0.390114772,0.3432538,0.266631428,,,
Brewster,0.345486051,0.439899688,0.214614261,,,
Briscoe,0.248785407,0.209443928,0.541770665,,,
Brooks,0.304175302,0.375042745,0.320781952,,,
Brown,0.277314745,0.245744532,0.476940723,,,
Burleson,0.302062381,0.141921493,0.556016127,,,
Burnet,0.469592684,0.32239615,0.208011166,,,
Caldwell,0.316897219,0.170570401,0.51253238,,,
Calhoun,0.120194554,0.085950184,0.793855262,,,
Callahan,0.245291333,0.130086495,0.624622171,,,
Cameron,0.464940148,0.455137663,0.079922188,,,
Camp,0.522394283,0.333243223,0.144362494,,,
Carson,0.200564371,0.122171583,0.677264045,,,
Cass,0.453565887,0.261804202,0.284629911,,,
Castro,0.159887547,0.147692348,0.692420104,,,
Chambers,0.28148447,0.256988844,0.461526686,,,
Cherokee,0.354289477,0.254141049,0.391569473,,,
Childress,0.279187637,0.31846503,0.402347334,,,
Clay,0.408805666,0.164020743,0.427173591,,,
Cochran,0.131666418,0.134635394,0.733698188,,,
Coke,0.283172468,0.11763964,0.599187891,,,
